Creator,Created,Playlist Name,Share Code,Description
Dokkie,2025-01-14,"cs2 playlist",KovaaKsStrafingWhiteDps,""
Dokkie,2025-01-14,"cs playlist",KovaaKsSnipingWeeklyStrike,"Daily practice session to train skills not easily trainable in-game for tactical FPS."
Dokkie,2024-06-04,"aa4",KovaaKsCamouflagingInvincibleFrag,""
Dokkie,2024-05-21,"static weakness",KovaaKsEnragingBaitedAce,""
Dokkie,2024-02-27,"PreciseOrb Thingy",KovaaKsScreamingChattyCamper,""
Dokkie,2023-05-14,"Dokkie - Game warmup (read desc)",KovaaKsBloomingWetIdentity,"play each scen untill u feel warmed up, try not to play too long  PatTS - speed + accuracy   psalmTS - speed + target reading  tamTS - less speed more target reading  Rest is just general tracking, focus on staying relaxed"
Dokkie,2023-02-03,"gramaki smoothness",KovaaKsGlidingRareClan,""
Dokkie,2022-11-26,"LighthawkFPS - Target Reading (Hard)",KovaaKsReloadingFraggedDiscord,""
Dokkie,2022-07-08,"rare static",KovaaKsStrikingBoxedPrecision,""
Dokkie,2022-06-21,"Warmup",KovaaKsPerfectingSaltyAttachment,""
Dokkie,2022-04-14,"Trustemix Statics",KovaaKsSnipingCobaltCounterstrafe,""
Dokkie,2022-04-11,"vox-stuff",KovaaKsKillstreakingTaggedLoadout,""
Dokkie,2022-04-11,"vox stuff",KovaaKsJumpingSunsetorangeStrike,""
Dokkie,2022-04-11,"Herro Micro Static ",KovaaKsJigglepeekingSunsetorangeBunnyhop,""
Dokkie,2022-04-11,"Herro Micro-Static",KovaaKsImpactingStaticEntryfragger,""
Dokkie,2022-04-07,"Benchmarks - PureG",KovaaKsKillstreakingChatfraggedEngine,""
Dokkie,2022-04-07,"PureG Benchmarks",KovaaKsJumpingCharcoalgrayMap,""
Dokkie,2022-03-28,"smoothbot",KovaaKsBunnyhoppingDinkedNuns,""
Dokkie,2022-03-25,"Dokkie Static no pressure fixed",KovaaKsTimewarpingThinFragger,"dont stop mouse lol"
Dokkie,2022-03-24,"Dokkie Static no pressure",KovaaKsCrackingRandomAdventure,"dont stop mouse lol"
Dokkie,2022-03-24,"Dokkie Static nopressure",KovaaKsChokingPickedDeserteagle,"dont stop mouse"
Dokkie,2022-03-20,"my stuff",KovaaKsChokingIndigoIdentity,""
Dokkie,2022-03-15,"pgti",KovaaKsSnipingShinyDrop,""
Dokkie,2022-03-14,"PureG scen ideas",KovaaKsFlankingPeachDoublepump,""
Dokkie,2022-03-06,"Dokkie scenarios",KovaaKsBoomstickingNavyblueCt,""
Dokkie,2022-02-19,"Track by Hauntr",KovaaKsTaggingAttachedDub,""
Dokkie,2022-02-18,"Practical Scenarios (103 OW FOV recommended)",KovaaKsTrackingBuggedDiscord,""
Dokkie,2022-01-29,"FuglaaXYZ Cheats Shorter",KovaaKsParachutingBuggedFragger,""
Dokkie,2022-01-17,"Dokkie Spid",KovaaKsWipingFuchsiaSkybot,"Sens doesnt matter if youre pushing speed, but low sens does help with building speed more"
Dokkie,2022-01-08,"Dokkie Spid (ideally played on 50cm+)",KovaaKsNerfingIndigoDeathball,""
Dokkie,2021-12-29,"thing_1by1",KovaaKsCrouchingCobaltCd,""
Dokkie,2021-12-29,"Dokkie Static",KovaaKsCrossfiringClutchFlank,"dont stop mouse"
Dokkie,2021-12-29,"Just move your hand faster",KovaaKsReloadingZonedCallout,""
Dokkie,2021-11-25,"Dokkie's Spid (ideally played on 50cm+)",KovaaKsEnragingCeruleanForcebuy,""
Dokkie,2021-11-19,"B180T",KovaaKsBunnyhoppingBlueHip,""
Dokkie,2021-11-16,"ridd - smooth",KovaaKsBoomstickingSlowSpeed,""
Dokkie,2021-11-08,"bil static wide wall",KovaaKsCamouflagingJumpyCubby,""
Dokkie,2021-11-08,"spid ",KovaaKsBoomstickingIndigoBunnyhop,""
Dokkie,2021-10-15,"Scucchi static practice",KovaaKsDunkingFraggedStatus,""
Dokkie,2021-10-05,"Whysolo gpv",KovaaKsCalling90Chopper,""
