Creator,Created,Playlist Name,Share Code,Description
Lowgravity56,2024-12-30,"New Playlist",KovaaKsBombingCanaryJump,""
Lowgravity56,2023-04-17,"VT Plaza Advanced 12345",KovaaKsBuyingWhitePull,""
Lowgravity56,2023-04-17,"Plaza Reactivity LG56",KovaaKsLosingChestnutGamesense,""
Lowgravity56,2023-03-15,"PGTI SMOOTH",KovaaKsGriefingViscousBuystation,""
Lowgravity56,2023-02-16,"SkyTS GOD",KovaaKsChatfraggingFantasticDink,"PARA TONY"
Lowgravity56,2023-01-29,"EvaTS Psycho Progression",KovaaKsCounterstrafingGoldenochreAntieco,"para Tony, se juega en orden.  - LG56"
Lowgravity56,2022-10-26,"Preciseorb Righ Focus",KovaaKsEntryfraggingTwitchyDeathball,"If you are looking for an overall PGTI playlist try: KovaaKsDroppingThinBomb"
Lowgravity56,2022-10-26,"Preciseorb Righ Focus LG56",KovaaKsEnragingTurquoiseHipfire,"If you are looking for an overall PGTI playlist try: KovaaKsDroppingThinBomb"
Lowgravity56,2022-10-26,"Preciseorb Left Focus LG56",KovaaKsDunkingThinSecret,"If you are looking for an overall PGTI playlist try: KovaaKsDroppingThinBomb"
Lowgravity56,2022-10-26,"PreciseOrb Full Practice - LG56",KovaaKsDroppingThinBomb,"This playlist should help you with your overall PGTI technique.    If you are looking for side focused playlist try:  - Left: KovaaKsDunkingThinSecret  - Right: KovaaKsEntryfraggingTwitchyDeathball    Note that these are included here."
Lowgravity56,2022-10-21,"F--k Preciseorb",KovaaKsCapturingMehDoublepump,"JK I actually like it but I suck lol"
Lowgravity56,2022-10-01,"Air Benchmarks s4",KovaaKsKillstreakingGreenTimewarp,""
Lowgravity56,2022-09-16,"Voltaic Advanced Benchmarks S4 - v1",KovaaKsCrankingPulledGauntlet,"Official Voltaic Season 4 - Advanced Benchmark Playlist"
Lowgravity56,2022-09-16,"Voltaic Intermediate Benchmarks S4 - v1",KovaaKsCrackingPrismaticPull,"Official Voltaic Season 4 - Intermediate Benchmark Playlist"
Lowgravity56,2022-09-16,"Voltaic Intermediate Benchmarks S4",KovaaKsCounterstrafingPrismaticArmorshard,"Official Voltaic Season 4 - Intermediate Benchmark Playlist"
Lowgravity56,2022-09-16,"Voltaic Novice Benchmarks S4",KovaaKsClearingPetulantScoutrifle,"Official Voltaic Season 4 - Novice Benchmarks S4"
Lowgravity56,2022-09-09,"Ground Plaza Voltaic Test",KovaaKsZoningJumboWeaponlevel,"playlist to compare the current benchmark with the new beta version"
Lowgravity56,2022-09-09,"Air Voltaic Test",KovaaKsWinningJitteryForcebuy,"playlist to compare the current benchmark with the new beta version"
Lowgravity56,2022-09-05,"G - Sunday - Movement (AD PLUS) - LG56",KovaaKsChattingZonedLurker,"Mvmnt. Advanced Plus Playlist.  Recommended FOV: 103 - 110  Recommended sens: 25 - 50cm/360    Falkior wanted me to make this :p    Happy grinding!  - Lowgravity56"
Lowgravity56,2022-09-05,"F - Saturday - Evasive TS (AD PLUS) - LG56",KovaaKsCamouflagingWetChallenge,"Evasive Advanced Plus Playlist.  Recommended FOV: 110 - 120  Recommended sens: 25 - 50cm/360    Falkior wanted me to make this :p    Happy grinding!  - Lowgravity56"
Lowgravity56,2022-09-05,"F - Saturday - Evasive TS (Initiate) - LG56",KovaaKsBloomingTwitchySecret,"Recommended FOV: 110 - 120  Recommended sens: 25 - 50cm/360    Special thanks to MattyOW, TenguTerror, RiddBTW, WestProter and SilkyCrisp for their feedback and inspiration.    Happy grinding! and remember to stretch.  - Lowgravity56"
Lowgravity56,2022-09-04,"E - Friday - Speed TS (AD PLUS) - LG56",KovaaKsAfkingFraggedTimewarp,"Speedts Advanced Plus Playlist.  Recommended FOV: 110 - 120  Recommended sens: 25 - 50cm/360    Falkior wanted me to make this :p    Happy grinding!  - Lowgravity56"
Lowgravity56,2022-09-04,"E - Friday - Speed TS (Initiate) - LG56",KovaaKsAdsingForestgreenFaq,"Recommended FOV: 110 - 120  Recommended sens: 25 - 50cm/360    Special thanks to MattyOW, TenguTerror, RiddBTW, WestProter and SilkyCrisp for their feedback and inspiration.    Happy grinding! and remember to stretch.  - Lowgravity56"
Lowgravity56,2022-09-02,"Reactive benchmark test - ground plaza",KovaaKsRevolvingVioletWipe,"LG56: master and jade complete (09/02/2022)  103 fov  33cm/360  Thoughts: https://docs.google.com/document/d/19-iI35jx3UyzVhJ784F8LjIK6C15hVtWWvUKLkPMBfg/edit?usp=sharing"
Lowgravity56,2022-09-01,"B - Tuesday - Static (AD PLUS) - LG56",KovaaKsStartingLavenderEgg,"Static Advanced Playlist.  Recommended FOV: 103  Recommended sens: 30 - 60cm/360     Falkior wanted me to make this :p    Happy grinding!  - Lowgravity56"
Lowgravity56,2022-09-01,"B - Tuesday - Static (Initiate) - LG56",KovaaKsGearingFlankedBm,"Recommended FOV: 103  Recommended sens: 30 - 60cm/360     Special thanks to MattyOW, TenguTerror, RiddBTW, WestProter and SilkyCrisp for their feedback and inspiration.    Happy grinding! and remember to stretch.  - Lowgravity56"
Lowgravity56,2022-09-01,"A - Monday - Dynamic (AD PLUS) - LG56",KovaaKsBackflippingChestnutMilestone,"Dynamic Advanced plus Playlist.  Recommended FOV: 103  Recommended sens: 30 - 55cm/360    Falkior wanted me to make this :p    Happy grinding!   - Lowgravity56"
Lowgravity56,2022-08-31,"A - Monday - Dynamic (Initiate) - LG56",KovaaKsPatrollingAlmondBuy,"Recommended FOV: 103  Recommended sens: 30 - 55cm/360    Special thanks to MattyOW, TenguTerror, RiddBTW, WestProter and SilkyCrisp for their feedback and inspiration.    Happy grinding! and remember to stretch.  - Lowgravity56"
Lowgravity56,2022-08-29,"C - Wednesday - Smooth Tracking (Initiate) - LG56",KovaaKsResettingSneakyAce,"Recommended FOV: 103  Recommended sens: 20 - 50cm/360    Special thanks to MattyOW, TenguTerror, RiddBTW, WestProter and SilkyCrisp for their feedback and inspiration.    Happy grinding! and remember to stretch.  - Lowgravity56"
Lowgravity56,2022-08-29,"C - Wednesday - Smooth Tracking (AD PLUS) - LG56",KovaaKsPushingSlowArmorshard,"Smooth Advanced plus Playlist.  Recommended FOV: 103  Recommended sens: 20 - 55cm/360    Falkior wanted me to make this :p    Happy grinding!  - Lowgravity56"
Lowgravity56,2022-08-23,"D - Thursday - Reactive Tracking (AD PLUS) - LG56",KovaaKsCarryingWideChaingun,"Reactive Advanced plus Playlist.  Recommended FOV: 103  Recommended sens: 20 - 55cm/360    Falkior wanted me to make this :p    Happy grinding!  - Lowgravity56"
Lowgravity56,2022-08-23,"D - Thursday - Reactive Tracking (Initiate) - LG56",KovaaKsDinkingBlueAntieco,"Recommended FOV: 103  Recommended sens: 20 - 45cm/360    Special thanks to MattyOW, TenguTerror, RiddBTW, WestProter and SilkyCrisp for their feedback and inspiration.    Happy grinding! and remember to stretch.  - Lowgravity56"
Lowgravity56,2022-08-12,"Multiclick Practice - Novice - LG56",KovaaKsRoamingScaredAimbot,"Go break that plateau!    Also works for Initiate.    happy grinding  - Lowgravity56"
Lowgravity56,2022-08-03,"Multiclick Practice - Intermediate - LG56",KovaaKsCheatingSkyblueFlash,"Go break that plateau!    happy grinding  - Lowgravity56"
Lowgravity56,2022-08-03,"Multiclick Practice - Advanced - LG56",KovaaKsChattingSilverPharmercy,"Go break that plateau!    Also works for Advanced plus.    happy grinding  - Lowgravity56"
Lowgravity56,2022-07-20,"A - Warm Up Routine - LG56",KovaaKsStartingBurntsiennaClear,"Warm up routine to get your blood flowing before doing the V.D.I.M playlists!  Some people (like Quolu <3) wanted a version that was a little harder, so here it is!  - Lowgravity56"
Lowgravity56,2022-07-03,"G - Sunday - Movement (Advanced) - LG56",KovaaKsCapturingAsparagusDub,"Mvmnt. Advanced Playlist.  Recommended FOV: 103 - 110  Recommended sens: 25 - 50cm/360    Special thanks to MattyOW, TenguTerror, RiddBTW, WestProter and SilkyCrisp for their feedback and inspiration.    Happy grinding!  - Lowgravity56"
Lowgravity56,2022-07-03,"F - Saturday - Evasive TS (Advanced) - LG56",KovaaKsCamouflagingApricotSupport,"Evasive Advanced Playlist.  Recommended FOV: 110 - 120  Recommended sens: 25 - 50cm/360    Special thanks to MattyOW, TenguTerror, RiddBTW, WestProter and SilkyCrisp for their feedback and inspiration.    Happy grinding!  - Lowgravity56"
