Creator,Created,Playlist Name,Share Code,Description
Trippez,2024-08-30,"Trippez Static for Shishigami",KovaaKsBobbingSmallBunnyhop,""
Trippez,2024-05-18,"Trippez Dynamic for Cebb",KovaaKsBombingPetulantDunk,""
Trippez,2024-04-16,"Trippez Dynamic for Shishigami",KovaaKsTrackingAngelicUlt,""
Trippez,2024-01-01,"Trippez Smooth Regen 3",KovaaKsFlashingGoatedXur,""
Trippez,2023-11-18,"Trippez EvasiveTS for Overkill",KovaaKsParachutingRareBigpot,""
Trippez,2023-03-11,"Snackz Smoothness",KovaaKsReloadingCrackedSniper,""
Trippez,2022-12-28,"Trippez Smooth Regen 2",KovaaKsJumpingCopperClient,""
Trippez,2022-10-28,"Trippez 360 Comfort",KovaaKsDinkingScaredBrush,""
Trippez,2022-08-17,"Trippez Evasive Switching 4",KovaaKsCheatingHorizontalCapture,""
Trippez,2022-08-08,"Trippez Smooth Reactivity 4",KovaaKsTeleportingMiniEngine,""
Trippez,2022-08-08,"Trippez Smooth Reactivity 3",KovaaKsFeedingVioletXur,""
Trippez,2022-06-11,"Trippez Smooth Reactivity 2",KovaaKsBombingPeriwinkleQuest,""
Trippez,2022-05-25,"Trippez Smooth Reactivity",KovaaKsQuestingSepiaProjectile,""
Trippez,2022-05-18,"Trippez Evasive Switching 3",KovaaKsDodgingClippyAfk,""
Trippez,2022-05-18,"Trippez Evasive Switching 2",KovaaKsDinkingClearedClutch,""
Trippez,2022-05-07,"Trippez Evasive Switching",KovaaKsCapturingCharcoalgrayClip,""
Trippez,2022-02-21,"Trippez - IsakS - Valorant Routine",KovaaKsHipfiringRedCrucible,""
Trippez,2022-02-18,"Trippez - IsakS - Valorant",KovaaKsCrossfiringFlyDiff,""
Trippez,2022-02-17,"Trippez Daily #1",KovaaKsStrikingCamouflagedEngram,""
Trippez,2022-02-14,"Trippez Track but Click 2",KovaaKsFlashingPeachMap,""
Trippez,2022-02-14,"Trippez Track but Click",KovaaKsCheatingMahoganyExitfragger,""
Trippez,2022-02-12,"Good Scens",KovaaKsBouncingPeriwinkleScoutrifle,""
Trippez,2022-01-18,"Trippez Bouncing Overlords",KovaaKsChallengingWeeklyArmor,""
Trippez,2022-01-13,"Trippez Stop and Go",KovaaKsJumpingLightvenetianredBrush,""
Trippez,2022-01-03,"Trippez Peak Peeking Practice",KovaaKsRaiding360Camp,"Practice to peak and killing peeking enemys"
Trippez,2022-01-02,"Trippez So Stressed Out",KovaaKsCapturingSpringgreenBottomfrag,""
Trippez,2021-12-20,"Trippez Interception",KovaaKsRaidingFlyChallenge,""
Trippez,2021-12-14,"Trippez Gotta Go Fast TS 2",KovaaKsKillstreakingGoldenochreOfftank,"Improve Speed and Target Switching.  115+ FOV OW recommended"
Trippez,2021-12-14,"Trippez Gotta Go Fast TS",KovaaKsJumpingGodlikeXur,"Improve Speed and Target Switching.  115+ FOV OW recommended"
Trippez,2021-12-14,"Trippez Gotta Go Fast Clicking 2",KovaaKsJigglepeekingGodlikeCheater,"Improve Speed and Clicking.  115+ FOV OW recommended"
Trippez,2021-12-14,"Trippez Gotta Go Fast Clicking",KovaaKsImpactingGoatedFragger,"Improve Speed and Clicking.  115+ FOV OW recommended"
Trippez,2021-12-14,"Trippez Gotta Go Fast 3",KovaaKsHipfiringGhostpeekedPopcorn,"Improve Speed and Reactivity."
Trippez,2021-12-14,"Trippez Gotta Go Fast 2",KovaaKsHeadshottingGhostpeekedAntidive,"Improve Speed and Reactivity."
Trippez,2021-12-14,"Trippez Gotta Go Fast",KovaaKsGriefingGearedController,"Improve Speed and Reactivity."
Trippez,2021-12-02,"Trippez Smooth Regen",KovaaKsDashingAlmightyCounterstrafe,""
Trippez,2021-10-05,"Torje Reactivity conditioning (v2)",KovaaKsSensingGrayCamp,""
