Creator,Created,Playlist Name,Share Code,Description
Viscose,2026-01-24,"Viscose Patreon Playlist - Tracking Harder",KovaaKsGearingCrackedDodge,""
Viscose,2026-01-24,"Viscose Patreon Playlist - Tracking Easier",KovaaKsFlickingCornflowerIntelligence,""
Viscose,2025-09-12,"viscose 2025 target switching scenario list",KovaaKsRevolvingSilverRhombus,""
Viscose,2025-08-11,"Elige Wide Flicks",KovaaKsBouncingRockyYellowbar,""
Viscose,2025-08-11,"Elige Precise Clicking",KovaaKsBottingRockyChoke,""
Viscose,2025-07-09,"Twistzz Flicking Technique",KovaaKsTrackingBrickredInfiltration,""
Viscose,2025-04-01,"StrafingFlame Tracking Adjustment Control",KovaaKsZoningBadGhostpeeker,""
Viscose,2025-01-14,"Airen Stability and Fine Control",KovaaKsBunnyhoppingMiniClass,""
Viscose,2024-11-03,"Elige Flick Speed+acc",KovaaKsHeadshottingGodlikeCd,""
Viscose,2024-07-28,"Bucket EvasiveTS 30m Fundamentals",KovaaKsClearingClutchPopcorn,""
Viscose,2024-07-28,"Bucket SpeedTS 30m Fundamentals",KovaaKsChokingClutchAntidive,""
Viscose,2024-07-28,"Bucket Dynamic 30m Fundamentals",KovaaKsChallengingClearedBattleroyale,""
Viscose,2024-07-03,"GLaDOS Playlist 1",KovaaKsWipingFuchsiaFalldamage,"To focus on flick stability and transitioning from flick to microadjustments. Scenarios go from speed to precision focused throughout the playlist."
Viscose,2024-06-20,"Domi playlist - Stability",KovaaKsQuestingCapturedPog,""
Viscose,2024-06-20,"Domi Playlist - Stability 2",KovaaKsPushingCapturedAimbot,""
Viscose,2024-06-20,"Domi playlist - Stability 1",KovaaKsPullingCanaryContracts,""
Viscose,2024-03-19," Nickoglas Playlist 2",KovaaKsBoomstickingAttachedPrecision,""
Viscose,2024-02-10,"Clover Speed Demon Training 2",KovaaKsAdventuringFarFireteam,""
Viscose,2024-02-10,"Valorant + General Mouse Control v1",KovaaKsUltingEasyCrucible,""
Viscose,2024-02-10,"Clover Speed Demon Training",KovaaKsTimewarpingDownedBloom,""
Viscose,2024-01-15,"The Finals Novice - Viscose",KovaaKsImpactingNarrowDoghouse,""
Viscose,2024-01-15,"The Finals Intermediate - Viscose",KovaaKsHipfiringMountedInventory,""
Viscose,2024-01-15,"The Finals Advanced - Viscose",KovaaKsGriefingMiniBsp,""
Viscose,2023-09-27,"Euriece Monday v3",KovaaKsChatfraggingLongMonster,""
Viscose,2023-09-25,"Euriece Monday",KovaaKsPerfectingFarBrain,""
Viscose,2023-09-24,"Euriece Warmup",KovaaKsJumpingFarPopcorn,"15 min warmup before playsession"
Viscose,2023-06-10,"Bucket Val Warmup",KovaaKsDinkingSalmonMouse,""
Viscose,2023-05-31,"Bucket Friday",KovaaKsChatfraggingOlivegreenSpeed,""
Viscose,2023-05-31,"Bucket Wednesday",KovaaKsChallengingOlivegreenBuff,""
Viscose,2023-05-31,"Bucket Tuesday",KovaaKsCarryingNerfedEngram,""
Viscose,2023-05-31,"Bucket Thursday",KovaaKsCapturingNavyblueMilestone,""
Viscose,2023-05-31,"Bucket Monday",KovaaKsCampingNastyTimewarp,""
Viscose,2023-05-05,"Dominika Thursday",KovaaKsRoamingDynamicChallenge,""
Viscose,2023-05-05,"Dominika Wednesday",KovaaKsReloadingDinkedAds,""
Viscose,2023-05-05,"Dominika Tuesday",KovaaKsPlunderingDandelionHipfire,""
Viscose,2023-05-05,"Dominika Monday ",KovaaKsPeakingCobaltSuper,""
Viscose,2023-05-05,"Dominika Friday",KovaaKsMountingClippyCatalyst,""
Viscose,2023-04-30,"BigMeech Friday",KovaaKsCapturingDownedOptic,""
Viscose,2023-04-30,"BigMeech Thursday",KovaaKsCampingDowned1v1,""
Viscose,2023-04-30,"BigMeech Wednesday",KovaaKsCamouflagingDinkedChopper,""
Viscose,2023-04-29,"Angry Playlist",KovaaKsCampingFastPerk,""
Viscose,2023-04-27,"BigMeech Tuesday",KovaaKsBindingThinBug,""
Viscose,2023-04-27,"BigMeech Monday ",KovaaKsAdsingStaticOperator,""
Viscose,2023-04-27,"BigMeech Monday",KovaaKsWipingSneakyFrenzy,""
Viscose,2023-04-20,"StrafingFlame Day 5",KovaaKsPushingMaximumblueReset,""
Viscose,2023-04-20,"StrafingFlame Day 4",KovaaKsPullingMaximumblueBfg,""
Viscose,2023-04-20,"StrafingFlame Day 3",KovaaKsPoppingMauveDodge,""
Viscose,2023-04-20,"StrafingFlame Day 2",KovaaKsPlunderingMaroonIntelligence,""
Viscose,2023-04-20,"StrafingFlame Day 1",KovaaKsPerfectingMagentaEgg,""
Viscose,2023-03-28,"Playlist for StrafingFlame",KovaaKsSensingMehPlunder,"Adjustment practice  "
Viscose,2023-02-15,"Undertracking Heaven v2",KovaaKsWipingDefaultTag,"By Viscose, focus on adjusting to the inner edge of the bot. Enjoy :D"
Viscose,2023-02-06,"Controlled Tracking ",KovaaKsTaggingRockyPot,"mostly air angelic cause i like it :>"
Viscose,2023-01-15,"Playlist for bucket",KovaaKsParachutingMaximumblueStrike,"val prac"
Viscose,2022-11-28,"Iso Tracking",KovaaKsParachutingPlumPharmercy,"Designed to force wide angle arm movements and smooth transitions between arm and wrist movement  "
Viscose,2022-11-28,"blink tracks",KovaaKsKillstreakingPeachCubby,""
Viscose,2022-11-28,"Viscose Recommended Pokeball Scenarios",KovaaKsGlidingNastyBunnyhop,"Can be played as a playlist or the same way as my recommended switching scenarios"
Viscose,2022-11-23,"Playlist For Errede",KovaaKsWipingOrangeBfg,""
Viscose,2022-10-02,"viscose recommended switching scenarios",KovaaKsWipingBuffedCamper,""
Viscose,2022-01-02,"static ts stuff",KovaaKsPickingMehPopcorn,"aaaaa"
