Creator,Created,Playlist Name,Share Code,Description
divinebeginnings,2025-07-06,"ENV Raw Control S5 Variants",KovaaKsBottingGodlikeDoor,"ahahaha follow @aimenvision on twitter/X for more resources"
divinebeginnings,2025-07-01,"ENV Controlsphere S5 Variants",KovaaKsCrackingAfkEco,"ahahaha follow @aimenvision on X for more resources"
divinebeginnings,2025-06-29,"ENV PGT S5 Variants",KovaaKsPingingDownedMain,"ahahaha follow @aimenvision on X for more resources"
divinebeginnings,2025-06-27,"ENV Snake Track S5 Variants",KovaaKsParachutingAlmondPharmercy,"ahahaha follow @aimenvision on X for more resources"
divinebeginnings,2025-06-17,"Envision - Voltaic S3 - Precision Focus",KovaaKsDashingBlackSniper,"follow @aimenvision on X for more resources"
divinebeginnings,2025-06-17,"Voltaic S3 - Precision Focus",KovaaKsPingingSeagreenTopfrag,"follow @aimenvision on X for more resources"
divinebeginnings,2025-05-30,"Envision Novice Static",KovaaKsDeathballingKnockedEngram,"easier scenarios for novice players in static to develop speed, fluidity and good aiming habits. Follow @aimenvision on Twitter/X"
divinebeginnings,2024-12-04,"Envision's static",KovaaKsBackflippingJebaitedPick,"All you will ever need for static improvement. @aimenvision on twitter"
divinebeginnings,2024-11-10,"Envision Pasu",KovaaKsPickingMaximumblueChopper,"wooooooooooooooooooo"
divinebeginnings,2024-11-07,"ENV Controlsphere variants",KovaaKsTimewarpingSunsetorangeFinisher,"jajajaja"
divinebeginnings,2024-10-17,"tracking",KovaaKsDroppingJumpyTile,"jajajaja"
divinebeginnings,2024-10-15,"Envision Plaza S4 Training",KovaaKsAdventuringFuchsiaLurker,"jajajajaja"
divinebeginnings,2024-10-15,"Envision Smoothbot S4 Training",KovaaKsAdsingFraggedTag,"jajajaja"
divinebeginnings,2024-10-15,"Envision Pasu S4 Training",KovaaKsAcingFraggedCallout,"jajajaja"
divinebeginnings,2024-10-15,"Envision Pasu Rasp Training",KovaaKsTeleportingFarGhostpeeker,"jajajaja"
divinebeginnings,2024-10-15,"Envision SkyTS Training",KovaaKsTaggingFantasticQuest,"jajaja"
divinebeginnings,2024-10-15,"Envision skyts loop",KovaaKsPoppingCrackedGasmask,"jajaja"
divinebeginnings,2024-10-14,"Envision SkyTS variants",KovaaKsJumpingDinkedWall,"jajajaja"
divinebeginnings,2024-10-11,"only controlsphere",KovaaKsChallengingSeagreenStrike,"hehe"
divinebeginnings,2024-10-11,"Controlsphere-esque",KovaaKsBoomstickingSepiaGear,"controlsphere dope"
divinebeginnings,2024-07-27,"Goated tracking scenarios",KovaaKsImpactingAcedEsc,"jajajaja so good jajajaja"
divinebeginnings,2023-10-12,"envision smoothness ",KovaaKsBottingRarePull,"hi"
