Creator,Created,Playlist Name,Share Code,Description
mixu,2024-10-06,"micro2",KovaaKsStrafingJunglegreenBm,"gmdjhdnh"
mixu,2024-10-05,"micro",KovaaKsGhostpeekingGearedHell,"k"
mixu,2024-08-14,"tracking easier",KovaaKsTimewarpingFlawlessModifier,""
mixu,2024-07-27,"tracer",KovaaKsBloomingCrackedCinematic,""
mixu,2024-02-01,"omg best playlist",KovaaKsGlidingBlackDrop,""
mixu,2024-01-01,"Valorant",KovaaKsFlankingWetFlashbang,""
mixu,2023-06-09,"Smooth+Dynamic",KovaaKsCrankingCornflowerFrenzy,""
mixu,2023-06-09,"Reactive",KovaaKsCrackingCopperPot,""
mixu,2023-06-09,"Tac Fps Short",KovaaKsTeleportingAsparagusGear,""
mixu,2023-06-08,"Tac Fps 2",KovaaKsTrollingMid1v1,""
mixu,2023-06-05,"Reactive 2",KovaaKsGearingAlmondRando,""
mixu,2023-06-02,"XYZ Smooth",KovaaKsWinningGoatedFieldupgrade,""
mixu,2023-06-01,"Simple strafes",KovaaKsHeadshottingRoyalpurpleCinematic,""
mixu,2023-06-01,"Dynamic ",KovaaKsReloadingFlyFieldupgrade,""
mixu,2023-06-01,"Dynamic Short",KovaaKsRaidingFlawlessOptic,""
mixu,2023-05-26,"Static ",KovaaKsBombingTealArmor,""
mixu,2023-05-23,"Tracking shorter 2",KovaaKsRoamingFlankedCapture,""
mixu,2023-05-23,"JPC",KovaaKsPingingEasyReflex,""
mixu,2023-05-15,"Day 1",KovaaKsMainingOrangeNerf,""
mixu,2023-05-15,"Day 2",KovaaKsLosingOlivegreenWall,""
mixu,2023-05-15,"Day 3",KovaaKsKillstreakingOlivegreenChallenge,""
mixu,2023-05-15,"Day 4",KovaaKsJumpingNerfedFlashbang,""
mixu,2023-05-15,"Day 5",KovaaKsJigglepeekingNavybluePick,""
mixu,2023-05-15,"Day 6",KovaaKsImpactingNavyblueAds,""
mixu,2023-05-15,"Day 7",KovaaKsHipfiringNastyClient,""
mixu,2023-05-13,"Tracking minimum",KovaaKsNamedroppingSepiaMomentum,""
mixu,2023-05-13,"Tracking shorter",KovaaKsLosingScarletFieldupgrade,""
mixu,2023-05-13,"Routine",KovaaKsJumpingScared1v1,""
mixu,2023-05-13,"Tac Fps",KovaaKsFlashingRandomInventory,""
mixu,2023-05-11,"Clicking v2",KovaaKsSnipingJunglegreenLurker,""
mixu,2023-05-06,"Tracking II",KovaaKsGlidingBrownBfg,""
mixu,2023-05-06,"Tracking I",KovaaKsGhostpeekingBrightDodge,""
mixu,2023-05-04,"Tracking short",KovaaKsBuffingAsparagusCounterstrafe,""
mixu,2023-05-02,"Switching",KovaaKsDroppingDesertsandChatfrag,""
mixu,2023-05-02,"Clicking",KovaaKsCrossfiringCornflowerRank,""
mixu,2023-05-02,"Tracking",KovaaKsCounterstrafingCobaltInfiltration,""
mixu,2023-04-16,"ApexOW (Strafing + Tracking)",KovaaKsGhostpeekingCamouflagedSpeed,""
mixu,2023-04-11,"ApexOW (Tracking + Arcing)",KovaaKsBobbingDynamicBug,""
mixu,2023-04-11,"Valorant (Static + XY)",KovaaKsBindingDiagonalTopfrag,""
mixu,2023-04-03,"Valorant (Clicking + Switching)",KovaaKsTimewarpingCornflowerBsp,""
mixu,2023-04-03,"ApexOW (Tracking + Clicking)",KovaaKsTeleportingCopperEngine,""
mixu,2023-03-27,"ApexOW (Tracking-Clicking)",KovaaKsWinningCopperDiscord,""
mixu,2023-03-27,"Valorant (Clicking-Switching)",KovaaKsPushingBurntorangeDub,""
mixu,2023-02-22,"Megasmoothness",KovaaKsCrossfiringJunglegreenNerf,""
mixu,2023-02-19,"Matias movementgang",KovaaKsTimewarpingInvincibleWipe,""
mixu,2023-02-19,"Matias switchgang",KovaaKsTaggingIndigoFrag,""
mixu,2023-02-19,"Matias clickgang",KovaaKsStrikingHugeAimbot,""
mixu,2023-02-19,"Matias trackgang",KovaaKsStrafingHorizontalContracts,""
mixu,2023-02-19,"New Playlist",KovaaKsSneakingGreenBattlepass,""
