Creator,Created,Playlist Name,Share Code,Description
Fallen,2025-08-24,"OW2 Hitscan v2",KovaaKsCamouflagingLavenderStart,""
Fallen,2025-08-16,"OW2 Hitscan short",KovaaKsBaitingCrackedBattlepass,""
Fallen,2025-08-10,"OW2 Hitscan Easier",KovaaKsBombingSneakyClient,""
Fallen,2024-03-05,"Bounce Tracking",KovaaKsBuyingJittery1v1,""
Fallen,2024-02-04,"Fallen Balanced Routine - Medium",KovaaKsTimewarpingBrickredDoublepump,""
Fallen,2024-01-24,"OW2 Hitscan",KovaaKsGriefingKnockedBottomfrag,""
Fallen,2023-11-26,"Aidan Speed",KovaaKsCrackingCapturedForcebuy,""
Fallen,2023-08-28,"Sojourn Rail",KovaaKsExitfraggingBlueFlashbang,""
Fallen,2023-06-18,"tracking",KovaaKsReloadingLightvenetianredTopfrag,""
Fallen,2023-06-18,"clicking",KovaaKsQuestingLavenderFeed,""
Fallen,2023-03-06,"Smooth Tracking [40mins]",KovaaKsNamedroppingWetAttrition,"by Fallen"
Fallen,2023-02-14,"OW Soldier [HARD]",KovaaKsGlidingBright90s,"by @FallenAims"
Fallen,2023-01-12,"OW Widowmaker [HARD]",KovaaKsClearingMauveShard,"by @FallenAims"
Fallen,2023-01-12,"OW Widowmaker [NORMAL]",KovaaKsChokingMauveBottomfrag,"by @FallenAims"
Fallen,2023-01-12,"[HARD] OW Widowmaker",KovaaKsCheatingMaroonDuelist,"by Fallen"
Fallen,2022-08-29,"Fallen TacFPS",KovaaKsRocketingShinyFieldupgrade,""
Fallen,2022-08-22,"MIKE Reactive Tracking [30mins]",KovaaKsBobbingHugeLamp,""
Fallen,2022-08-22,"MIKE Precise Tracking [30mins]",KovaaKsMainingCopperPick,""
Fallen,2022-08-14,"psev Reactive Tracking [40mins]",KovaaKsCallingScarletQuest,""
Fallen,2022-07-27,"psev Smooth Tracking [40mins]",KovaaKsCounterstrafingVibrantCamper,""
Fallen,2022-07-27,"psev Dynamic [40mins]",KovaaKsClickingVermilionOfficer,""
Fallen,2022-07-24,"PureG Benchmarks",KovaaKsTaggingWeeklyValue,""
Fallen,2022-07-19,"psev Static [40mins]",KovaaKsEnraging180Rifle,""
Fallen,2022-07-19,"psev Static",KovaaKsDunking180Binding,""
Fallen,2022-07-15,"psev Fundamental",KovaaKsPatrollingVerticalGear,"~60% Tracking, 30% Clicking, 10% TS"
Fallen,2022-07-10,"horizontal reactivity o7",KovaaKsCounterstrafingMidPatrol,""
Fallen,2022-07-10,"Daily Thing 2",KovaaKsClippingMid1x1,""
Fallen,2022-05-09,"Fallen Smooth Tracking",KovaaKsPullingDefaultBot,""
Fallen,2022-05-09,"Nuno Complete - C",KovaaKsPickingCornflowerBuy,""
Fallen,2022-05-09,"Nuno Complete - B",KovaaKsJumpingChatfraggedCt,""
Fallen,2022-05-09,"Nuno Complete - A",KovaaKsJigglepeekingCharcoalgrayHighground,""
Fallen,2022-05-09,"Fallen Micro",KovaaKsFinishingBurntorangeFieldupgrade,""
Fallen,2022-05-05,"Saro Balanced - Fallen",KovaaKsNerfingBurntorangeFragger,""
Fallen,2022-05-04,"Smooth Tracking",KovaaKsCounterstrafingBoxedMilestone,""
Fallen,2022-04-18,"Daily thing",KovaaKsAdventuringVividtangerineCt,""
Fallen,2022-03-27,"Fextion Tracking",KovaaKsCarryingFlyStart,""
Fallen,2022-03-27,"Fextion Pump",KovaaKsCapturingFlyBug,""
Fallen,2021-12-27,"Krascsi - 1wall tracking+movement (experimental) play 1-2x",KovaaKsSneakingCamouflagedSentinel,""
