Creator,Created,Playlist Name,Share Code,Description
MattyOW,2025-08-12,"MattyOW x InfinityMice Aim Challenge 2025",KovaaKsMountingYellowDunk,""
MattyOW,2025-08-10,"Jiggities Amped Routine",KovaaKsPerfectingNastyHalfbuy,"Voltaic Amped Program"
MattyOW,2025-08-07,"MattyOW Overwatch Benchmarks",KovaaKsMainingScaredTag,""
MattyOW,2025-08-05,"Furious Five Mantis Playlist - Killuminati",KovaaKsCamouflagingShamrockTroll,"As part of the selection of elite aim trainer players designated by the ""Jade Palace"" Discord server, this playlist is a resource collaboration between MattyOW and Killuminati, designed to help players improve precise tracking."
MattyOW,2025-07-07,"Overwatch Ultimate Routine EASY - MattyOW 2025",KovaaKsDashingKnockedCubby,"Playlist tailored to help OW2 players improve their raw aiming mechanics and work on fundamentals. Presented and explained via Youtube Video: https://youtu.be/HNo4-isHzh8  EASIER VERSION"
MattyOW,2025-06-24,"Overwatch Ultimate Routine - MattyOW 2025",KovaaKsJumpingCaffeinatedRng,"Playlist tailored to help OW2 players improve their raw aiming mechanics and work on fundamentals. Presented and explained via Youtube Video: https://youtu.be/HNo4-isHzh8"
MattyOW,2025-06-23,"Furious Five Monkey Playlist - Zeonlo",KovaaKsCallingAngelicBfg,"As part of the selection of elite aim trainer players designated by the ""Jade Palace"" Discord server, this playlist is a resource collaboration between MattyOW and Zeonlo, designed to help players improve static clicking."
MattyOW,2025-05-23,"Dawnmoer Valorant Playlist",KovaaKsAdventuringFantasticBm,"Playlist by MattyOW for Dawnmoer"
MattyOW,2025-05-23,"PGE and Sugarfree sitting in a Tr33",KovaaKsBuyingGreenTeleport,"Playlist by MattyOW focusing on the hitscan OW Variety - Intermediate Difficulty / For Warmup"
MattyOW,2025-05-20,"Oathkeeper",KovaaKsStrafingInvincibleArmor,"Playlist by MattyOW - Varied EvasiveTS scenarios centered around speed and freedom of movement."
MattyOW,2025-05-20,"Sin and Innocence",KovaaKsSnipingHugeHero,"Playlist by MattyOW"
MattyOW,2025-05-20,"Two Become One",KovaaKsRaidingGoldenrodTopfrag,"Playlist by MattyOW"
MattyOW,2025-04-28,"Furious Five Crane Playlist - sillydomi",KovaaKsZoningVerticalFaq,"As part of the selection of elite aim trainer players designated by the ""Jade Palace"" Discord server, this playlist is a resource collaboration between MattyOW and sillydomi, designed to help players improve dynamic and evasive."
MattyOW,2025-03-25,"Freytag's Pyramid",KovaaKsBombingRockyLurker,"Playlist by MattyOW"
MattyOW,2025-03-22,"Nerves of Steel",KovaaKsPoppingCopperLowground,"Playlist by MattyOW"
MattyOW,2025-02-27,"Reet's Aim Routine",KovaaKsVibratingRangedSupport,"By VT Matty"
MattyOW,2025-02-15,"Yokai Aim Conditioning II",KovaaKsBindingRangedArmor,"For IM Yokai"
MattyOW,2025-02-15,"Yokai Aim Conditioning",KovaaKsBaitingRandomCrucible,"For IM Yokai"
