Creator,Created,Playlist Name,Share Code,Description
kynave,2025-07-07,"Viscose Benchmarks - Beginner",KovaaKsGearingMehLowground,"8/23/25"
kynave,2025-06-30,"Viscose Benchmarks Beta - Beginner",KovaaKsFeedingOlivegreenWipe,""
kynave,2025-06-04,"Viscose Benchmarks Beta - Intermediate",KovaaKsVibratingFlankedLurker,"8/23/25"
kynave,2025-06-04,"Viscose Benchmarks Beta - Advanced",KovaaKsTrollingFedCallout,"8/23/25"
kynave,2025-05-07,"kynave Recommended Scenes",KovaaKsKillstreakingGhostpeekedCapture,""
kynave,2025-04-12,"VT clover Daily Tracking Edit",KovaaKsCarryingFuchsiaOperator,"I recommend ~25cm"
kynave,2025-03-29,"afafafsfgsg",KovaaKsRocketingChestnutClass,""
kynave,2024-04-14,"Air",KovaaKsChatfraggingFarAutomatic,""
kynave,2023-09-25,"Dynamic-Evasive 85-90%",KovaaKsWipingAfkPog,""
kynave,2023-09-25,"Air Voltaic - Variants - V2",KovaaKsVibratingAcedContracts,""
kynave,2023-08-11,"smoothness 4 strafe aim",KovaaKsNamedroppingBrownGear,"kynave strafe aim"
kynave,2023-08-11,"smoothness 3 precision",KovaaKsMountingBrightQuaker,"kynave precision"
kynave,2023-08-11,"smoothness 2 underaim",KovaaKsMainingBrightAttachment,"kynave underaim"
kynave,2023-06-28,"VT Air - Variants - V1",KovaaKsCallingDinkedBuy,""
kynave,2023-06-28,"Controlsphere - Variants - V1",KovaaKsBloomingCornflowerGauntlet,""
kynave,2023-03-18,"smoothness 4 = strafe aim",KovaaKsTimewarpingGoatedCallout,"kynave strafe aim"
kynave,2023-03-17,"smoothness 1 = smoothness",KovaaKsClearingCamouflagedYellowbar,"kynave smoothness"
kynave,2023-03-17,"smoothness 2 = underaim",KovaaKsChokingCamouflagedChoke,"kynave underaim"
kynave,2023-03-17,"smoothness 3 = precision",KovaaKsCheatingCaffeinatedFrenzy,"kynave precision"
kynave,2023-03-17,"chin tac-fps",KovaaKsChatfraggingButteryAntieco,""
kynave,2023-03-16,"smoothness 3 - precision",KovaaKsDeathballingDandelionDrop,"kynave precision"
kynave,2023-03-16,"smoothness 2 - underaim",KovaaKsDashingCrackedLoot,"kynave underaim"
kynave,2023-03-16,"smoothness 1 - smoothness",KovaaKsCrouchingCornflowerSuper,"kynave smoothness"
kynave,2023-03-16,"smoothness 1",KovaaKsPatrollingVividtangerineAdd,""
kynave,2023-03-13,"reaction bm",KovaaKsBlinkingSmallFlash,""
kynave,2023-03-08,"static - microcorrection",KovaaKsNerfingFedRaid,""
kynave,2023-03-08,"poekbal",KovaaKsNamedroppingFedAutomatic,""
kynave,2023-03-07,"smoothness 2",KovaaKsCheatingRangedAfk,"kynave reactive scene collection"
