Creator,Created,Playlist Name,Share Code,Description
minigod,2026-06-27,"dos9 v2",KovaaKsClippingEggplantKillstreak,""
minigod,2026-06-25,"Ulishi Amped Introduction",KovaaKsBindingGoldenrodMap,""
minigod,2026-06-22,"aizu Introduction",KovaaKsParachuting180Feed,""
minigod,2026-05-21,"jeemzbut training",KovaaKsCamouflagingIndigoShotgun,""
minigod,2026-05-14,"nirah warmup",KovaaKsWinningJunglegreenEngram,""
minigod,2026-05-09,"tom supplement routine w1",KovaaKsAdventuring360Doublexp,""
minigod,2026-05-08,"dos9 training intro",KovaaKsExitfraggingDinkedSeason,""
minigod,2026-05-06,"avez training routine",KovaaKsPullingBuggedPatrol,""
minigod,2026-05-03,"lewie foundation daily",KovaaKsCamouflagingNarrowEntryfrag,""
minigod,2026-05-01,"autimatic routine v2",KovaaKsKillstreakingAntiquebrassCamp,""
minigod,2026-04-27,"rarga training routine ",KovaaKsHeadshottingFuchsiaPistol,""
minigod,2026-04-19,"vind supplementary routine",KovaaKsDodgingJunglegreenCatalyst,""
minigod,2026-04-16,"Kajaak Micro & Discipline Focus",KovaaKsRoamingMaximumblueCash,""
minigod,2026-04-13,"autimatic april 1",KovaaKsImpactingCaffeinatedGasmask,""
minigod,2026-04-09,"rarga introduction",KovaaKsDinking360Ads,""
minigod,2026-04-01,"aa4 practice",KovaaKsAscendingAlmondFaq,""
minigod,2026-03-14,"CoolCreater8 Routine ",KovaaKsSwitchingRedMouse,""
minigod,2026-03-07,"deadlock rayz",KovaaKsBloomingGoldenochreWeaponlevel,""
minigod,2026-03-03,"M4X Introduction",KovaaKsGearingBadFlank,""
minigod,2026-03-01,"nathan AMPED Introduction",KovaaKsClearingOrangePick,""
minigod,2026-02-25,"scream 123",KovaaKsFlickingBoxedAdd,""
minigod,2026-02-21,"ryota flick tech",KovaaKsLosingBrightLoot,""
minigod,2026-02-21,"ryota micros & reading v2",KovaaKsKillstreakingBrickredSuper,""
minigod,2026-02-21,"ryota micros & reading",KovaaKsJigglepeekingBraveEquipment,""
minigod,2026-02-12,"TacFPS Wangmu 2015 Latte",KovaaKsQuestingBaitedOfftank,""
minigod,2026-02-12,"TacFPS Wangmu Ascension 2015",KovaaKsQuestingBuggedFinisher,""
minigod,2026-02-02,"lewie7",KovaaKsClickingDefaultHighground,""
minigod,2026-01-13,"al0rante foundation",KovaaKsPerfectingJumboEgg,""
minigod,2026-01-06,"lewie6",KovaaKsRoamingClutchGasmask,""
minigod,2025-12-28,"gucii pathing fundamentals",KovaaKsDinkingFraggedHip,""
minigod,2025-12-21,"crazy tacfps routine",KovaaKsResettingPeachScoutrifle,""
minigod,2025-12-19,"Shockwave high sens",KovaaKsBouncingHorizontalEngine,"simple scenarios to get used to usage of a higher sensitivity."
minigod,2025-12-19,"PotHunter Training",KovaaKsCrankingMountedBuy,""
minigod,2025-12-15,"snubla2",KovaaKsBuyingDiagonalSniper,""
minigod,2025-12-09,"steinful flicktech",KovaaKsBobbingCapturedFlank,""
minigod,2025-12-08,"lewie5",KovaaKsCapturingSlipperyHipfire,""
minigod,2025-12-06,"KnightMare Static GOATv",KovaaKsSneakingDenimCrossfire,""
minigod,2025-12-04,"Bebzon1 edit",KovaaKsCarryingAntiquebrassIdentity,""
minigod,2025-12-03,"snubla1",KovaaKsTeleportingAcedChampion,""
minigod,2025-11-21,"lewie4 flick-tech",KovaaKsBindingZonedArmor,""
minigod,2025-11-19,"reflex balancing",KovaaKsChattingPlumDiff,""
minigod,2025-11-14,"maja playlista 1",KovaaKsTrackingJumboChoke,"Basic flick-tech scenarios to encourage arm usage at faster speeds and the rest of the routine is oriented around stability and fine control on our adjustments. We want to develop more flexibility within our technique"
minigod,2025-11-10,"ViiZzzm Training Routine",KovaaKsPoppingPlumFullbuy,""
minigod,2025-11-09,"lewie3",KovaaKsAcingFarModifier,""
minigod,2025-10-29,"HZ W5 - YANG (Speed)",KovaaKsBunnyhoppingDynamicPistol,""
minigod,2025-10-29,"HZ W5 - YIN (Control)",KovaaKsBlinkingDefaultSentinel,""
minigod,2025-10-25,"lewie2",KovaaKsPoppingVibrantCrank,""
minigod,2025-10-17,"lewie1",KovaaKsCrouchingSlowController,""
minigod,2025-10-16,"HZ Week 4 Routine",KovaaKsFlashingVividtangerineLoadout,""
minigod,2025-10-16,"HZ W2 Smoother Flick-Tech",KovaaKsExitfraggingVibrantMonster,""
minigod,2025-09-16,"HZ W3 Target Reading",KovaaKsUltingAfkSniper,""
minigod,2025-09-16,"ttt training routine",KovaaKsFeedingSepia90s,""
minigod,2025-09-13,"Shockwave R2 F & C",KovaaKsGlidingAngelicEsc,""
minigod,2025-09-06,"HZ Smooth Flick Tech",KovaaKsSnipingDefaultGasmask,""
minigod,2025-09-02,"ww5t road to master",KovaaKsBunnyhoppingSalmonStrike,""
minigod,2025-08-31,"1w3ts road to master",KovaaKsJumpingNavyblueLoadout,""
minigod,2025-08-26,"Shockwave Micro",KovaaKsJumpingMiniBug,""
minigod,2025-08-26,"Shockwave R1",KovaaKsHipfiringMehTopfrag,""
minigod,2025-08-20,"HZ Warmup V1",KovaaKsSneakingScarletDeserteagle,""
minigod,2025-08-16,"HZ R2 FLICK n REFLEX",KovaaKsBindingShinyAttachment,""
minigod,2025-08-16,"HZ R1 FLEXIBILITY",KovaaKsBaitingShamrockCubby,""
minigod,2025-08-10,"Zey Aim Refinery",KovaaKsDodgingYellowTile,""
minigod,2025-08-10,"dav1g flick-tech development ",KovaaKsClippingGooshedQuaker,""
minigod,2025-08-09,"PA1NT Main Routine",KovaaKsEntryfraggingAntiquebrassStatus,""
minigod,2025-08-07,"maskoff flick tech ",KovaaKsFeedingPlumBomb,""
