Creator,Created,Playlist Name,Share Code,Description
thundah,2025-09-25,"Dynamic - thundah",KovaaKsHipfiringNarrowSentinel,""
thundah,2025-09-22,"                                           XYZ Benchmarks - Easy",KovaaKsChattingCobaltChatfrag,"https://tinyurl.com/XYZBenchmarksEasy"
thundah,2025-09-22,"                                           XYZ Benchmarks - Hard",KovaaKsChatfraggingClutchFrag,"https://tinyurl.com/XYZBenchmarksHard"
thundah,2025-09-15,"XYZ V1",KovaaKsQuestingMagentaSmg,""
thundah,2025-09-13,"                                       XYZ Competitions - Revamp",KovaaKsHipfiringApricotLostsector,"https://tinyurl.com/XYZRevampComp"
thundah,2025-08-29,"                                       XYZ Competitions - Switching",KovaaKsNamedroppingTurquoiseDeathball,"https://tinyurl.com/XYZSwitchingComp"
thundah,2025-08-17,"XYZ HARD",KovaaKsJumpingZonedTeleport,""
thundah,2025-08-17,"XYZ EASY",KovaaKsJigglepeekingZonedCamp,""
thundah,2025-08-08,"                                       XYZ Competitions - Tracking",KovaaKsEnragingBlueSupport,"https://tinyurl.com/XYZTrackingComp"
thundah,2025-07-18,"                                       XYZ Competitions - Clicking",KovaaKsStrikingRareSniper,"https://tinyurl.com/XYZClickingComp"
thundah,2025-07-11,"                              XYZ SMOOTHNESS BENCHMARKS HARD",KovaaKsBloomingLightvenetianredEco,"Google Spreadsheet: https://tinyurl.com/xyzHard"
thundah,2025-07-11,"                              XYZ SMOOTHNESS BENCHMARKS EASY",KovaaKsBindingKnockedTank,"Google Spreadsheet: https://tinyurl.com/xyzEasy"
thundah,2025-07-06,"TSK Ultimate Benchmarks",KovaaKsPingingDenimEco,""
thundah,2025-06-12,"XYZ SMOOTHNESS BENCHMARKS HARD",KovaaKsExitfragging90Pull,""
thundah,2025-06-12,"XYZ SMOOTHNESS BENCHMARKS",KovaaKsCampingViscousHighground,""
thundah,2025-06-11,"XYZ SMOOTHNESS BENCHMARKS EASY",KovaaKsTrollingSkyblueEngine,""
thundah,2025-06-08,"Smoothness by thundah",KovaaKsPushing180Milestone,""
thundah,2025-04-05,"Revosect Challenger #2",KovaaKsStrikingRoyalpurpleEngram,""
thundah,2025-01-24,"rA TrackMix Warm-up",KovaaKsCallingEasyOfftank,""
thundah,2025-01-01," rA Challengers Month #1",KovaaKsBuyingMahoganyAntieco,"TrackMix Practice/Warm-up Playlist: KovaaKsCallingEasyOfftank"
thundah,2024-12-21,"rA benchmark Easy",KovaaKsClickingGooshedEntryfrag,""
thundah,2024-12-12,"the ultimate playlist",KovaaKsBuyingAcedBigpot,""
thundah,2024-11-23,"20cm tracking ",KovaaKsPeakingChestnutClass,"by thundah for gohan"
thundah,2024-11-18,"MIRA Hard Benchmarks",KovaaKsPeekingLightvenetianredFrenzy,""
thundah,2024-11-18,"MIRA Easy Benchmarks",KovaaKsPeakingLavenderPot,""
thundah,2024-11-02,"TSK Bouncesphere Benchmarks",KovaaKsReloadingBrownCallout,""
thundah,2024-10-05,"rA XYCLICK Warmup",KovaaKsBottingCloseGoat,""
thundah,2024-09-19,"                                       Revosect Season 4 Easy (rA)",KovaaKsExitfraggingWideCamp,""
thundah,2024-09-19,"                                       Revosect Season 4 Easy",KovaaKsEntryfraggingWhiteFalldamage,""
thundah,2024-09-18,"goathan 20cm juicer maxximus",KovaaKsLosingMagentaForcebuy,""
thundah,2024-09-18,"valorant warmup for jess",KovaaKsHeadshottingKnockedAutomatic,""
thundah,2024-09-12,"warmup for jess",KovaaKsRoamingNarrowFov,""
thundah,2024-09-06,"thundah precise pandamonium",KovaaKsChatfraggingSkyblueFieldupgrade,""
thundah,2024-08-29,"thundah smoothness",KovaaKsPingingCamouflagedButton,"become smooth"
thundah,2024-08-25,"thundah tracking S3",KovaaKsEntryfraggingTwitchyClan,""
thundah,2024-07-13,"thundah tracking S3 beta list",KovaaKsEntryfraggingWetDoublepump,""
thundah,2024-07-10,"VT EVASIVE",KovaaKsCounterstrafingBrickredPrecision,""
thundah,2024-07-03,"thundah Diabotical Rogue playlist",KovaaKsCallingYellowMouse,""
thundah,2024-07-01,"VT REACTIVE",KovaaKsPullingVioletPistol,""
thundah,2024-06-09,"thundah precise tracking S2",KovaaKsDodgingDynamicFov,"Season 2 thundah precise tracking benchmarks   ---------------------------------------------------------------------------  https://docs.google.com/spreadsheets/d/1Ya61uCCy5YcRqmCQvCpr3-qbDubVvo_NX9kfIre6d4A/edit?gid=2056027282#gid=20560272"
thundah,2024-05-18,"THE FINALS - thundah",KovaaKsBunnyhoppingCanaryRifle,"by @wa11p1per & M1dnightWerewolf. enjoy! <3"
thundah,2024-05-09,"sausageTrack Hard ",KovaaKsGriefingBadBug,""
thundah,2024-05-09,"fluffyTrack Hard ",KovaaKsGlidingAttachedEnrage,""
thundah,2024-05-09,"CDIM - STATIC CLICKING",KovaaKsDashing180Intelligence,"cAt daily improvement method"
thundah,2024-05-09,"CDIM - SPEED SWITCHING",KovaaKsCrouching90Smg,"cAt daily improvement method"
